wstatus,type,geo,name,TIME_PERIOD,OBS_VALUE
EMP,Employed persons,CH,Switzerland,2014,9.8
EMP,Employed persons,CH,Switzerland,2015,9.7
EMP,Employed persons,CH,Switzerland,2016,9.0
EMP,Employed persons,CH,Switzerland,2017,9.4
EMP,Employed persons,CH,Switzerland,2018,9.1
EMP,Employed persons,CH,Switzerland,2019,8.7
EMP,Employed persons,CH,Switzerland,2020,8.3
EMP,Employed persons,CH,Switzerland,2021,7.9
EMP,Employed persons,CH,Switzerland,2022,8.1
EMP,Employed persons,CH,Switzerland,2023,7.8
EMP,Employed persons,CY,Cyprus,2009,14.5
EMP,Employed persons,CY,Cyprus,2010,12.9
EMP,Employed persons,CY,Cyprus,2011,11.9
EMP,Employed persons,CY,Cyprus,2012,11.3
EMP,Employed persons,CY,Cyprus,2013,10.4
EMP,Employed persons,CY,Cyprus,2014,7.7
EMP,Employed persons,CY,Cyprus,2015,8.3
EMP,Employed persons,CY,Cyprus,2016,9.7
EMP,Employed persons,CY,Cyprus,2017,9.5
EMP,Employed persons,CY,Cyprus,2018,10.4
EMP,Employed persons,CY,Cyprus,2019,11.6
EMP,Employed persons,CY,Cyprus,2020,12.0
EMP,Employed persons,CY,Cyprus,2021,12.2
EMP,Employed persons,CY,Cyprus,2022,12.1
EMP,Employed persons,CY,Cyprus,2023,9.0
EMP,Employed persons,CZ,Czechia,2009,18.8
EMP,Employed persons,CZ,Czechia,2010,18.7
EMP,Employed persons,CZ,Czechia,2011,18.2
EMP,Employed persons,CZ,Czechia,2012,17.7
EMP,Employed persons,CZ,Czechia,2013,17.2
EMP,Employed persons,CZ,Czechia,2014,17.5
EMP,Employed persons,CZ,Czechia,2015,16.6
EMP,Employed persons,CZ,Czechia,2016,16.0
EMP,Employed persons,CZ,Czechia,2017,15.8
EMP,Employed persons,CZ,Czechia,2018,15.2
EMP,Employed persons,CZ,Czechia,2019,15.0
EMP,Employed persons,CZ,Czechia,2020,15.3
EMP,Employed persons,CZ,Czechia,2021,15.4
EMP,Employed persons,CZ,Czechia,2022,14.9
EMP,Employed persons,CZ,Czechia,2023,13.9
EMP,Employed persons,DE,Germany,2009,10.7
EMP,Employed persons,DE,Germany,2010,10.5
EMP,Employed persons,DE,Germany,2011,10.3
EMP,Employed persons,DE,Germany,2012,10.3
EMP,Employed persons,DE,Germany,2013,9.5
EMP,Employed persons,DE,Germany,2014,9.1
EMP,Employed persons,DE,Germany,2015,8.6
EMP,Employed persons,DE,Germany,2016,8.1
EMP,Employed persons,DE,Germany,2017,7.8
EMP,Employed persons,DE,Germany,2018,8.0
EMP,Employed persons,DE,Germany,2019,8.0
EMP,Employed persons,DE,Germany,2020,7.5
EMP,Employed persons,DE,Germany,2021,7.4
EMP,Employed persons,DE,Germany,2022,7.8
EMP,Employed persons,DE,Germany,2023,7.7
EMP,Employed persons,DK,Denmark,2009,6.0
EMP,Employed persons,DK,Denmark,2010,5.7
EMP,Employed persons,DK,Denmark,2011,6.9
EMP,Employed persons,DK,Denmark,2012,6.4
EMP,Employed persons,DK,Denmark,2013,6.3
EMP,Employed persons,DK,Denmark,2014,7.4
EMP,Employed persons,DK,Denmark,2015,7.8
EMP,Employed persons,DK,Denmark,2016,6.9
EMP,Employed persons,DK,Denmark,2017,6.7
EMP,Employed persons,DK,Denmark,2018,7.0
EMP,Employed persons,DK,Denmark,2019,7.2
EMP,Employed persons,DK,Denmark,2020,7.0
EMP,Employed persons,DK,Denmark,2021,6.9
EMP,Employed persons,DK,Denmark,2022,5.4
EMP,Employed persons,DK,Denmark,2023,5.6
EMP,Employed persons,EE,Estonia,2009,1.1
EMP,Employed persons,EE,Estonia,2010,0.5
EMP,Employed persons,EE,Estonia,2011,4.9
EMP,Employed persons,EE,Estonia,2012,4.1
EMP,Employed persons,EE,Estonia,2013,5.2
EMP,Employed persons,EE,Estonia,2014,6.5
EMP,Employed persons,EE,Estonia,2015,6.3
EMP,Employed persons,EE,Estonia,2016,6.8
EMP,Employed persons,EE,Estonia,2017,4.9
EMP,Employed persons,EE,Estonia,2018,6.0
EMP,Employed persons,EE,Estonia,2019,6.0
EMP,Employed persons,EE,Estonia,2020,4.4
EMP,Employed persons,EE,Estonia,2021,3.7
EMP,Employed persons,EE,Estonia,2022,2.9
EMP,Employed persons,EE,Estonia,2023,2.4
EMP,Employed persons,EL,Greece,2009,26.2
EMP,Employed persons,EL,Greece,2010,24.8
EMP,Employed persons,EL,Greece,2011,22.7
EMP,Employed persons,EL,Greece,2012,20.1
EMP,Employed persons,EL,Greece,2013,19.5
EMP,Employed persons,EL,Greece,2014,18.8
EMP,Employed persons,EL,Greece,2015,18.6
EMP,Employed persons,EL,Greece,2016,19.5
EMP,Employed persons,EL,Greece,2017,20.2
EMP,Employed persons,EL,Greece,2018,21.6
EMP,Employed persons,EL,Greece,2019,20.7
EMP,Employed persons,EL,Greece,2020,19.4
EMP,Employed persons,EL,Greece,2021,19.8
EMP,Employed persons,EL,Greece,2022,21.0
EMP,Employed persons,EL,Greece,2023,19.8
EMP,Employed persons,ES,Spain,2009,14.2
EMP,Employed persons,ES,Spain,2010,12.9
EMP,Employed persons,ES,Spain,2011,11.6
EMP,Employed persons,ES,Spain,2012,10.0
EMP,Employed persons,ES,Spain,2013,9.6
EMP,Employed persons,ES,Spain,2014,10.2
EMP,Employed persons,ES,Spain,2015,11.2
EMP,Employed persons,ES,Spain,2016,11.5
EMP,Employed persons,ES,Spain,2017,11.9
EMP,Employed persons,ES,Spain,2018,12.1
EMP,Employed persons,ES,Spain,2019,11.9
EMP,Employed persons,ES,Spain,2020,11.4
EMP,Employed persons,ES,Spain,2021,10.6
EMP,Employed persons,ES,Spain,2022,10.9
EMP,Employed persons,ES,Spain,2023,10.2
EMP,Employed persons,EU27_2020,European Union,2009,13.4
EMP,Employed persons,EU27_2020,European Union,2010,12.7
EMP,Employed persons,EU27_2020,European Union,2011,12.5
EMP,Employed persons,EU27_2020,European Union,2012,11.8
EMP,Employed persons,EU27_2020,European Union,2013,11.3
EMP,Employed persons,EU27_2020,European Union,2014,11.1
EMP,Employed persons,EU27_2020,European Union,2015,11.1
EMP,Employed persons,EU27_2020,European Union,2016,11.1
EMP,Employed persons,EU27_2020,European Union,2017,11.3
EMP,Employed persons,EU27_2020,European Union,2018,11.3
EMP,Employed persons,EU27_2020,European Union,2019,11.2
EMP,Employed persons,EU27_2020,European Union,2020,11.1
EMP,Employed persons,EU27_2020,European Union,2021,10.9
EMP,Employed persons,EU27_2020,European Union,2022,10.7
EMP,Employed persons,EU27_2020,European Union,2023,10.3
EMP,Employed persons,FI,Finland,2009,2.2
EMP,Employed persons,FI,Finland,2010,3.1
EMP,Employed persons,FI,Finland,2011,3.9
EMP,Employed persons,FI,Finland,2012,3.3
EMP,Employed persons,FI,Finland,2013,2.9
EMP,Employed persons,FI,Finland,2014,2.0
EMP,Employed persons,FI,Finland,2015,2.1
EMP,Employed persons,FI,Finland,2016,3.2
EMP,Employed persons,FI,Finland,2017,3.8
EMP,Employed persons,FI,Finland,2018,3.8
EMP,Employed persons,FI,Finland,2019,3.3
EMP,Employed persons,FI,Finland,2020,3.3
EMP,Employed persons,FI,Finland,2021,2.0
EMP,Employed persons,FI,Finland,2022,1.2
EMP,Employed persons,FI,Finland,2023,0.2
EMP,Employed persons,FR,France,2009,8.0
EMP,Employed persons,FR,France,2010,7.9
EMP,Employed persons,FR,France,2011,8.1
EMP,Employed persons,FR,France,2012,7.6
EMP,Employed persons,FR,France,2013,6.9
EMP,Employed persons,FR,France,2014,6.1
EMP,Employed persons,FR,France,2015,5.9
EMP,Employed persons,FR,France,2016,6.1
EMP,Employed persons,FR,France,2017,6.6
EMP,Employed persons,FR,France,2018,6.4
EMP,Employed persons,FR,France,2019,5.9
EMP,Employed persons,FR,France,2020,5.7
EMP,Employed persons,FR,France,2021,6.2
EMP,Employed persons,FR,France,2022,5.8
EMP,Employed persons,FR,France,2023,5.5
EMP,Employed persons,HR,Croatia,2009,12.5
EMP,Employed persons,HR,Croatia,2010,11.5
EMP,Employed persons,HR,Croatia,2011,12.5
EMP,Employed persons,HR,Croatia,2012,11.1
EMP,Employed persons,HR,Croatia,2013,8.8
EMP,Employed persons,HR,Croatia,2014,10.0
EMP,Employed persons,HR,Croatia,2015,9.5
EMP,Employed persons,HR,Croatia,2016,9.6
EMP,Employed persons,HR,Croatia,2017,10.6
EMP,Employed persons,HR,Croatia,2018,10.2
EMP,Employed persons,HR,Croatia,2019,10.5
EMP,Employed persons,HR,Croatia,2020,11.2
EMP,Employed persons,HR,Croatia,2021,10.5
EMP,Employed persons,HR,Croatia,2022,9.5
EMP,Employed persons,HR,Croatia,2023,7.8
EMP,Employed persons,HU,Hungary,2009,7.9
EMP,Employed persons,HU,Hungary,2010,6.6
EMP,Employed persons,HU,Hungary,2011,7.3
EMP,Employed persons,HU,Hungary,2012,6.9
EMP,Employed persons,HU,Hungary,2013,8.1
EMP,Employed persons,HU,Hungary,2014,9.4
EMP,Employed persons,HU,Hungary,2015,9.6
EMP,Employed persons,HU,Hungary,2016,9.7
EMP,Employed persons,HU,Hungary,2017,11.1
EMP,Employed persons,HU,Hungary,2018,10.7
EMP,Employed persons,HU,Hungary,2019,11.0
EMP,Employed persons,HU,Hungary,2020,11.2
EMP,Employed persons,HU,Hungary,2021,10.6
EMP,Employed persons,HU,Hungary,2022,9.8
EMP,Employed persons,HU,Hungary,2023,9.2
EMP,Employed persons,IE,Ireland,2009,10.4
EMP,Employed persons,IE,Ireland,2010,9.0
EMP,Employed persons,IE,Ireland,2011,8.9
EMP,Employed persons,IE,Ireland,2012,8.6
EMP,Employed persons,IE,Ireland,2013,10.6
EMP,Employed persons,IE,Ireland,2014,11.8
EMP,Employed persons,IE,Ireland,2015,12.4
EMP,Employed persons,IE,Ireland,2016,12.2
EMP,Employed persons,IE,Ireland,2017,12.2
EMP,Employed persons,IE,Ireland,2018,12.3
EMP,Employed persons,IE,Ireland,2019,12.5
EMP,Employed persons,IE,Ireland,2020,12.7
EMP,Employed persons,IE,Ireland,2021,10.0
EMP,Employed persons,IE,Ireland,2022,11.3
EMP,Employed persons,IE,Ireland,2023,9.9
EMP,Employed persons,IS,Iceland,2009,5.4
EMP,Employed persons,IS,Iceland,2010,5.5
EMP,Employed persons,IS,Iceland,2011,5.4
EMP,Employed persons,IS,Iceland,2012,5.3
EMP,Employed persons,IS,Iceland,2013,6.5
EMP,Employed persons,IS,Iceland,2014,6.3
EMP,Employed persons,IS,Iceland,2015,6.3
EMP,Employed persons,IS,Iceland,2016,6.7
EMP,Employed persons,IS,Iceland,2017,6.0
EMP,Employed persons,IS,Iceland,2018,6.3
EMP,Employed persons,IS,Iceland,2019,5.6
EMP,Employed persons,IS,Iceland,2020,5.9
EMP,Employed persons,IS,Iceland,2021,7.4
EMP,Employed persons,IS,Iceland,2022,5.2
EMP,Employed persons,IS,Iceland,2023,6.1
EMP,Employed persons,IT,Italy,2009,23.4
EMP,Employed persons,IT,Italy,2010,22.7
EMP,Employed persons,IT,Italy,2011,22.1
EMP,Employed persons,IT,Italy,2012,20.5
EMP,Employed persons,IT,Italy,2013,19.2
EMP,Employed persons,IT,Italy,2014,18.9
EMP,Employed persons,IT,Italy,2015,19.7
EMP,Employed persons,IT,Italy,2016,19.9
EMP,Employed persons,IT,Italy,2017,19.7
EMP,Employed persons,IT,Italy,2018,19.7
EMP,Employed persons,IT,Italy,2019,19.4
EMP,Employed persons,IT,Italy,2020,19.7
EMP,Employed persons,IT,Italy,2021,19.2
EMP,Employed persons,IT,Italy,2022,19.7
EMP,Employed persons,IT,Italy,2023,19.5
EMP,Employed persons,LT,Lithuania,2009,-0.4
EMP,Employed persons,LT,Lithuania,2010,-1.5
EMP,Employed persons,LT,Lithuania,2011,0.6
EMP,Employed persons,LT,Lithuania,2012,1.2
EMP,Employed persons,LT,Lithuania,2013,2.6
EMP,Employed persons,LT,Lithuania,2014,2.5
EMP,Employed persons,LT,Lithuania,2015,2.4
EMP,Employed persons,LT,Lithuania,2016,1.9
EMP,Employed persons,LT,Lithuania,2017,1.0
EMP,Employed persons,LT,Lithuania,2018,2.3
EMP,Employed persons,LT,Lithuania,2019,1.6
EMP,Employed persons,LT,Lithuania,2020,1.7
EMP,Employed persons,LT,Lithuania,2021,1.4
EMP,Employed persons,LT,Lithuania,2022,0.8
EMP,Employed persons,LT,Lithuania,2023,1.5
EMP,Employed persons,LU,Luxembourg,2009,17.5
EMP,Employed persons,LU,Luxembourg,2010,17.2
EMP,Employed persons,LU,Luxembourg,2011,16.2
EMP,Employed persons,LU,Luxembourg,2012,14.4
EMP,Employed persons,LU,Luxembourg,2013,14.1
EMP,Employed persons,LU,Luxembourg,2014,12.9
EMP,Employed persons,LU,Luxembourg,2015,11.7
EMP,Employed persons,LU,Luxembourg,2016,11.0
EMP,Employed persons,LU,Luxembourg,2017,7.9
EMP,Employed persons,LU,Luxembourg,2018,8.0
EMP,Employed persons,LU,Luxembourg,2019,9.1
EMP,Employed persons,LU,Luxembourg,2020,7.1
EMP,Employed persons,LU,Luxembourg,2021,7.4
EMP,Employed persons,LU,Luxembourg,2022,6.5
EMP,Employed persons,LU,Luxembourg,2023,6.8
EMP,Employed persons,LV,Latvia,2009,0.2
EMP,Employed persons,LV,Latvia,2010,-0.6
EMP,Employed persons,LV,Latvia,2011,2.0
EMP,Employed persons,LV,Latvia,2012,3.6
EMP,Employed persons,LV,Latvia,2013,4.2
EMP,Employed persons,LV,Latvia,2014,4.5
EMP,Employed persons,LV,Latvia,2015,4.1
EMP,Employed persons,LV,Latvia,2016,2.8
EMP,Employed persons,LV,Latvia,2017,4.3
EMP,Employed persons,LV,Latvia,2018,4.3
EMP,Employed persons,LV,Latvia,2019,3.7
EMP,Employed persons,LV,Latvia,2020,3.7
EMP,Employed persons,LV,Latvia,2021,4.8
EMP,Employed persons,LV,Latvia,2022,3.1
EMP,Employed persons,LV,Latvia,2023,3.1
EMP,Employed persons,ME,Montenegro,2011,12.6
EMP,Employed persons,ME,Montenegro,2012,11.7
EMP,Employed persons,ME,Montenegro,2013,10.6
EMP,Employed persons,ME,Montenegro,2014,11.7
EMP,Employed persons,ME,Montenegro,2015,10.3
EMP,Employed persons,ME,Montenegro,2016,11.7
EMP,Employed persons,ME,Montenegro,2017,13.8
EMP,Employed persons,ME,Montenegro,2018,13.8
EMP,Employed persons,ME,Montenegro,2019,13.3
EMP,Employed persons,ME,Montenegro,2020,12.9
EMP,Employed persons,MK,North Macedonia,2009,21.3
EMP,Employed persons,MK,North Macedonia,2010,20.9
EMP,Employed persons,MK,North Macedonia,2011,19.0
EMP,Employed persons,MK,North Macedonia,2012,18.8
EMP,Employed persons,MK,North Macedonia,2013,19.0
EMP,Employed persons,MK,North Macedonia,2014,20.8
EMP,Employed persons,MK,North Macedonia,2015,19.4
EMP,Employed persons,MK,North Macedonia,2016,21.2
EMP,Employed persons,MK,North Macedonia,2017,21.9
EMP,Employed persons,MK,North Macedonia,2018,21.4
EMP,Employed persons,MK,North Macedonia,2019,21.3
EMP,Employed persons,MK,North Macedonia,2020,19.9
EMP,Employed persons,MT,Malta,2009,37.5
EMP,Employed persons,MT,Malta,2010,36.6
EMP,Employed persons,MT,Malta,2011,35.2
EMP,Employed persons,MT,Malta,2012,31.4
EMP,Employed persons,MT,Malta,2013,28.6
EMP,Employed persons,MT,Malta,2014,26.8
EMP,Employed persons,MT,Malta,2015,26.8
EMP,Employed persons,MT,Malta,2016,25.5
EMP,Employed persons,MT,Malta,2017,24.1
EMP,Employed persons,MT,Malta,2018,22.3
EMP,Employed persons,MT,Malta,2019,22.0
EMP,Employed persons,MT,Malta,2020,18.9
EMP,Employed persons,MT,Malta,2021,17.6
EMP,Employed persons,MT,Malta,2022,13.3
EMP,Employed persons,MT,Malta,2023,14.2
EMP,Employed persons,NL,Netherlands,2009,13.3
EMP,Employed persons,NL,Netherlands,2010,12.1
EMP,Employed persons,NL,Netherlands,2011,11.4
EMP,Employed persons,NL,Netherlands,2012,10.8
EMP,Employed persons,NL,Netherlands,2013,9.9
EMP,Employed persons,NL,Netherlands,2014,10.9
EMP,Employed persons,NL,Netherlands,2015,10.6
EMP,Employed persons,NL,Netherlands,2016,10.5
EMP,Employed persons,NL,Netherlands,2017,9.9
EMP,Employed persons,NL,Netherlands,2018,9.6
EMP,Employed persons,NL,Netherlands,2019,8.9
EMP,Employed persons,NL,Netherlands,2020,8.4
EMP,Employed persons,NL,Netherlands,2021,8.2
EMP,Employed persons,NL,Netherlands,2022,7.9
EMP,Employed persons,NL,Netherlands,2023,7.8
EMP,Employed persons,NO,Norway,2009,4.0
EMP,Employed persons,NO,Norway,2010,3.5
EMP,Employed persons,NO,Norway,2011,3.6
EMP,Employed persons,NO,Norway,2012,3.6
EMP,Employed persons,NO,Norway,2013,3.5
EMP,Employed persons,NO,Norway,2014,4.0
EMP,Employed persons,NO,Norway,2015,3.5
EMP,Employed persons,NO,Norway,2016,2.6
EMP,Employed persons,NO,Norway,2017,3.0
EMP,Employed persons,NO,Norway,2018,3.9
EMP,Employed persons,NO,Norway,2019,3.8
EMP,Employed persons,NO,Norway,2020,3.4
EMP,Employed persons,NO,Norway,2021,4.8
EMP,Employed persons,NO,Norway,2022,5.7
EMP,Employed persons,NO,Norway,2023,5.0
EMP,Employed persons,PL,Poland,2009,14.3
EMP,Employed persons,PL,Poland,2010,13.2
EMP,Employed persons,PL,Poland,2011,13.5
EMP,Employed persons,PL,Poland,2012,13.5
EMP,Employed persons,PL,Poland,2013,13.7
EMP,Employed persons,PL,Poland,2014,13.6
EMP,Employed persons,PL,Poland,2015,13.0
EMP,Employed persons,PL,Poland,2016,13.4
EMP,Employed persons,PL,Poland,2017,14.0
EMP,Employed persons,PL,Poland,2018,13.8
EMP,Employed persons,PL,Poland,2019,14.8
EMP,Employed persons,PL,Poland,2020,15.0
EMP,Employed persons,PL,Poland,2021,14.0
EMP,Employed persons,PL,Poland,2022,12.9
EMP,Employed persons,PL,Poland,2023,11.9
EMP,Employed persons,PT,Portugal,2009,10.8
EMP,Employed persons,PT,Portugal,2010,9.9
EMP,Employed persons,PT,Portugal,2011,8.8
EMP,Employed persons,PT,Portugal,2012,6.7
EMP,Employed persons,PT,Portugal,2013,6.1
EMP,Employed persons,PT,Portugal,2014,6.6
EMP,Employed persons,PT,Portugal,2015,6.4
EMP,Employed persons,PT,Portugal,2016,6.5
EMP,Employed persons,PT,Portugal,2017,7.2
EMP,Employed persons,PT,Portugal,2018,6.6
EMP,Employed persons,PT,Portugal,2019,6.9
EMP,Employed persons,PT,Portugal,2020,5.7
EMP,Employed persons,PT,Portugal,2021,6.3
EMP,Employed persons,PT,Portugal,2022,5.9
EMP,Employed persons,PT,Portugal,2023,5.6
EMP,Employed persons,RO,Romania,2009,17.5
EMP,Employed persons,RO,Romania,2010,17.5
EMP,Employed persons,RO,Romania,2011,16.7
EMP,Employed persons,RO,Romania,2012,17.2
EMP,Employed persons,RO,Romania,2013,17.2
EMP,Employed persons,RO,Romania,2014,17.5
EMP,Employed persons,RO,Romania,2015,17.7
EMP,Employed persons,RO,Romania,2016,17.7
EMP,Employed persons,RO,Romania,2017,17.3
EMP,Employed persons,RO,Romania,2018,18.5
EMP,Employed persons,RO,Romania,2019,19.2
EMP,Employed persons,RO,Romania,2020,19.3
EMP,Employed persons,RO,Romania,2021,20.1
EMP,Employed persons,RO,Romania,2022,18.6
EMP,Employed persons,RO,Romania,2023,19.1
EMP,Employed persons,RS,Serbia,2010,17.8
EMP,Employed persons,RS,Serbia,2011,17.2
EMP,Employed persons,RS,Serbia,2012,17.5
EMP,Employed persons,RS,Serbia,2013,18.5
EMP,Employed persons,RS,Serbia,2014,15.7
EMP,Employed persons,RS,Serbia,2015,15.9
EMP,Employed persons,RS,Serbia,2016,15.1
EMP,Employed persons,RS,Serbia,2017,14.7
EMP,Employed persons,RS,Serbia,2018,15.4
EMP,Employed persons,RS,Serbia,2019,14.6
EMP,Employed persons,RS,Serbia,2020,14.6
EMP,Employed persons,RS,Serbia,2021,14.9
EMP,Employed persons,RS,Serbia,2022,13.9
EMP,Employed persons,RS,Serbia,2023,12.5
EMP,Employed persons,SE,Sweden,2009,5.5
EMP,Employed persons,SE,Sweden,2010,6.5
EMP,Employed persons,SE,Sweden,2011,6.1
EMP,Employed persons,SE,Sweden,2012,5.5
EMP,Employed persons,SE,Sweden,2013,5.5
EMP,Employed persons,SE,Sweden,2014,4.9
EMP,Employed persons,SE,Sweden,2015,4.6
EMP,Employed persons,SE,Sweden,2016,4.3
EMP,Employed persons,SE,Sweden,2017,4.4
EMP,Employed persons,SE,Sweden,2018,4.7
EMP,Employed persons,SE,Sweden,2019,5.1
EMP,Employed persons,SE,Sweden,2020,5.4
EMP,Employed persons,SE,Sweden,2021,5.3
EMP,Employed persons,SE,Sweden,2022,5.8
EMP,Employed persons,SE,Sweden,2023,4.7
EMP,Employed persons,SI,Slovenia,2009,7.4
EMP,Employed persons,SI,Slovenia,2010,7.1
EMP,Employed persons,SI,Slovenia,2011,6.7
EMP,Employed persons,SI,Slovenia,2012,6.9
EMP,Employed persons,SI,Slovenia,2013,8.0
EMP,Employed persons,SI,Slovenia,2014,7.8
EMP,Employed persons,SI,Slovenia,2015,8.5
EMP,Employed persons,SI,Slovenia,2016,6.5
EMP,Employed persons,SI,Slovenia,2017,6.9
EMP,Employed persons,SI,Slovenia,2018,7.1
EMP,Employed persons,SI,Slovenia,2019,6.5
EMP,Employed persons,SI,Slovenia,2020,5.9
EMP,Employed persons,SI,Slovenia,2021,6.7
EMP,Employed persons,SI,Slovenia,2022,6.9
EMP,Employed persons,SI,Slovenia,2023,6.1
EMP,Employed persons,SK,Slovakia,2009,11.8
EMP,Employed persons,SK,Slovakia,2010,9.9
EMP,Employed persons,SK,Slovakia,2011,10.5
EMP,Employed persons,SK,Slovakia,2012,10.9
EMP,Employed persons,SK,Slovakia,2013,9.8
EMP,Employed persons,SK,Slovakia,2014,9.8
EMP,Employed persons,SK,Slovakia,2015,9.9
EMP,Employed persons,SK,Slovakia,2016,9.2
EMP,Employed persons,SK,Slovakia,2017,7.6
EMP,Employed persons,SK,Slovakia,2018,8.5
EMP,Employed persons,SK,Slovakia,2019,7.7
EMP,Employed persons,SK,Slovakia,2020,7.3
EMP,Employed persons,SK,Slovakia,2021,8.5
EMP,Employed persons,SK,Slovakia,2022,8.1
EMP,Employed persons,SK,Slovakia,2023,7.7
EMP,Employed persons,TR,Türkiye,2009,44.6
EMP,Employed persons,TR,Türkiye,2010,44.7
EMP,Employed persons,TR,Türkiye,2011,45.4
EMP,Employed persons,TR,Türkiye,2012,44.1
EMP,Employed persons,TR,Türkiye,2013,43.5
EMP,Employed persons,TR,Türkiye,2014,43.4
EMP,Employed persons,TR,Türkiye,2015,42.8
EMP,Employed persons,TR,Türkiye,2016,42.3
EMP,Employed persons,TR,Türkiye,2017,41.6
EMP,Employed persons,TR,Türkiye,2018,40.8
EMP,Employed persons,TR,Türkiye,2019,38.8
EMP,Employed persons,TR,Türkiye,2020,38.1
EMP_PT,Employed persons working part-time,AT,Austria,2009,-36.8
EMP_PT,Employed persons working part-time,AT,Austria,2010,-36.7
EMP_PT,Employed persons working part-time,AT,Austria,2011,-37.4
EMP_PT,Employed persons working part-time,AT,Austria,2012,-38.1
EMP_PT,Employed persons working part-time,AT,Austria,2013,-37.4
EMP_PT,Employed persons working part-time,AT,Austria,2014,-38.1
EMP_PT,Employed persons working part-time,AT,Austria,2015,-38.4
EMP_PT,Employed persons working part-time,AT,Austria,2016,-37.7
EMP_PT,Employed persons working part-time,AT,Austria,2017,-37.7
EMP_PT,Employed persons working part-time,AT,Austria,2018,-38.0
EMP_PT,Employed persons working part-time,AT,Austria,2019,-38.7
EMP_PT,Employed persons working part-time,AT,Austria,2020,-38.2
EMP_PT,Employed persons working part-time,AT,Austria,2021,-39.3
EMP_PT,Employed persons working part-time,AT,Austria,2022,-39.7
EMP_PT,Employed persons working part-time,AT,Austria,2023,-38.6
EMP_PT,Employed persons working part-time,BA,Bosnia and Herzegovina,2021,-0.7
EMP_PT,Employed persons working part-time,BA,Bosnia and Herzegovina,2022,0.0
EMP_PT,Employed persons working part-time,BE,Belgium,2009,-32.2
EMP_PT,Employed persons working part-time,BE,Belgium,2010,-32.5
EMP_PT,Employed persons working part-time,BE,Belgium,2011,-32.9
EMP_PT,Employed persons working part-time,BE,Belgium,2012,-33.3
EMP_PT,Employed persons working part-time,BE,Belgium,2013,-32.6
EMP_PT,Employed persons working part-time,BE,Belgium,2014,-31.6
EMP_PT,Employed persons working part-time,BE,Belgium,2015,-31.0
EMP_PT,Employed persons working part-time,BE,Belgium,2016,-31.4
EMP_PT,Employed persons working part-time,BE,Belgium,2017,-29.9
EMP_PT,Employed persons working part-time,BE,Belgium,2018,-29.8
EMP_PT,Employed persons working part-time,BE,Belgium,2019,-29.5
EMP_PT,Employed persons working part-time,BE,Belgium,2020,-28.4
EMP_PT,Employed persons working part-time,BE,Belgium,2021,-29.3
