prof_pos,pos,geo,name,TIME_PERIOD,OBS_VALUE
BRD,Board members,CY,Cyprus,2014,9.3
BRD,Board members,CY,Cyprus,2015,9.0
BRD,Board members,CY,Cyprus,2016,10.8
BRD,Board members,CY,Cyprus,2017,10.4
BRD,Board members,CY,Cyprus,2018,11.9
BRD,Board members,CY,Cyprus,2019,9.4
BRD,Board members,CY,Cyprus,2020,11.5
BRD,Board members,CY,Cyprus,2021,8.5
BRD,Board members,CY,Cyprus,2022,10.2
BRD,Board members,CY,Cyprus,2023,8.2
BRD,Board members,CZ,Czechia,2004,10.6
BRD,Board members,CZ,Czechia,2005,11.3
BRD,Board members,CZ,Czechia,2006,7.6
BRD,Board members,CZ,Czechia,2007,10.6
BRD,Board members,CZ,Czechia,2008,13.1
BRD,Board members,CZ,Czechia,2009,13.3
BRD,Board members,CZ,Czechia,2010,12.2
BRD,Board members,CZ,Czechia,2011,15.9
BRD,Board members,CZ,Czechia,2012,16.4
BRD,Board members,CZ,Czechia,2013,11.3
BRD,Board members,CZ,Czechia,2014,3.5
BRD,Board members,CZ,Czechia,2015,10.4
BRD,Board members,CZ,Czechia,2016,10.1
BRD,Board members,CZ,Czechia,2017,14.5
BRD,Board members,CZ,Czechia,2018,13.8
BRD,Board members,CZ,Czechia,2019,18.2
BRD,Board members,CZ,Czechia,2020,17.2
BRD,Board members,CZ,Czechia,2021,23.0
BRD,Board members,CZ,Czechia,2022,21.9
BRD,Board members,CZ,Czechia,2023,23.1
BRD,Board members,DE,Germany,2003,9.8
BRD,Board members,DE,Germany,2004,11.7
BRD,Board members,DE,Germany,2005,12.2
BRD,Board members,DE,Germany,2006,11.2
BRD,Board members,DE,Germany,2007,11.3
BRD,Board members,DE,Germany,2008,13.3
BRD,Board members,DE,Germany,2009,12.9
BRD,Board members,DE,Germany,2010,12.6
BRD,Board members,DE,Germany,2011,15.2
BRD,Board members,DE,Germany,2012,17.9
BRD,Board members,DE,Germany,2013,21.5
BRD,Board members,DE,Germany,2014,24.4
BRD,Board members,DE,Germany,2015,26.1
BRD,Board members,DE,Germany,2016,29.5
BRD,Board members,DE,Germany,2017,31.9
BRD,Board members,DE,Germany,2018,33.8
BRD,Board members,DE,Germany,2019,35.6
BRD,Board members,DE,Germany,2020,36.3
BRD,Board members,DE,Germany,2021,36.0
BRD,Board members,DE,Germany,2022,37.2
BRD,Board members,DE,Germany,2023,38.7
BRD,Board members,DK,Denmark,2003,12.5
BRD,Board members,DK,Denmark,2004,11.3
BRD,Board members,DK,Denmark,2005,11.0
BRD,Board members,DK,Denmark,2006,12.1
BRD,Board members,DK,Denmark,2007,15.3
BRD,Board members,DK,Denmark,2008,16.9
BRD,Board members,DK,Denmark,2009,17.6
BRD,Board members,DK,Denmark,2010,17.7
BRD,Board members,DK,Denmark,2011,16.3
BRD,Board members,DK,Denmark,2012,20.8
BRD,Board members,DK,Denmark,2013,22.9
BRD,Board members,DK,Denmark,2014,24.0
BRD,Board members,DK,Denmark,2015,25.8
BRD,Board members,DK,Denmark,2016,27.1
BRD,Board members,DK,Denmark,2017,30.3
BRD,Board members,DK,Denmark,2018,27.7
BRD,Board members,DK,Denmark,2019,30.0
BRD,Board members,DK,Denmark,2020,33.6
BRD,Board members,DK,Denmark,2021,34.9
BRD,Board members,DK,Denmark,2022,41.0
BRD,Board members,DK,Denmark,2023,41.4
BRD,Board members,EE,Estonia,2003,14.7
BRD,Board members,EE,Estonia,2004,15.5
BRD,Board members,EE,Estonia,2005,12.7
BRD,Board members,EE,Estonia,2006,13.1
BRD,Board members,EE,Estonia,2007,10.1
BRD,Board members,EE,Estonia,2008,8.4
BRD,Board members,EE,Estonia,2009,6.4
BRD,Board members,EE,Estonia,2010,7.0
BRD,Board members,EE,Estonia,2011,6.7
BRD,Board members,EE,Estonia,2012,7.8
BRD,Board members,EE,Estonia,2013,7.3
BRD,Board members,EE,Estonia,2014,7.1
BRD,Board members,EE,Estonia,2015,8.1
BRD,Board members,EE,Estonia,2016,8.8
BRD,Board members,EE,Estonia,2017,7.4
BRD,Board members,EE,Estonia,2018,8.0
BRD,Board members,EE,Estonia,2019,9.4
BRD,Board members,EE,Estonia,2020,8.8
BRD,Board members,EE,Estonia,2021,9.1
BRD,Board members,EE,Estonia,2022,10.3
BRD,Board members,EE,Estonia,2023,12.0
BRD,Board members,EL,Greece,2003,7.8
BRD,Board members,EL,Greece,2004,7.3
BRD,Board members,EL,Greece,2005,7.1
BRD,Board members,EL,Greece,2006,7.9
BRD,Board members,EL,Greece,2007,11.2
BRD,Board members,EL,Greece,2008,5.7
BRD,Board members,EL,Greece,2009,5.1
BRD,Board members,EL,Greece,2010,6.2
BRD,Board members,EL,Greece,2011,6.5
BRD,Board members,EL,Greece,2012,7.9
BRD,Board members,EL,Greece,2013,8.4
BRD,Board members,EL,Greece,2014,8.9
BRD,Board members,EL,Greece,2015,9.8
BRD,Board members,EL,Greece,2016,9.1
BRD,Board members,EL,Greece,2017,11.3
BRD,Board members,EL,Greece,2018,9.1
BRD,Board members,EL,Greece,2019,10.3
BRD,Board members,EL,Greece,2020,13.0
BRD,Board members,EL,Greece,2021,19.6
BRD,Board members,EL,Greece,2022,24.0
BRD,Board members,EL,Greece,2023,26.3
BRD,Board members,ES,Spain,2003,3.3
BRD,Board members,ES,Spain,2004,4.2
BRD,Board members,ES,Spain,2005,4.3
BRD,Board members,ES,Spain,2006,4.5
BRD,Board members,ES,Spain,2007,6.2
BRD,Board members,ES,Spain,2008,8.0
BRD,Board members,ES,Spain,2009,9.6
BRD,Board members,ES,Spain,2010,9.5
BRD,Board members,ES,Spain,2011,11.1
BRD,Board members,ES,Spain,2012,12.3
BRD,Board members,ES,Spain,2013,14.8
BRD,Board members,ES,Spain,2014,16.9
BRD,Board members,ES,Spain,2015,18.7
BRD,Board members,ES,Spain,2016,20.3
BRD,Board members,ES,Spain,2017,22.0
BRD,Board members,ES,Spain,2018,23.7
BRD,Board members,ES,Spain,2019,26.4
BRD,Board members,ES,Spain,2020,29.3
BRD,Board members,ES,Spain,2021,32.6
BRD,Board members,ES,Spain,2022,35.7
BRD,Board members,ES,Spain,2023,39.4
BRD,Board members,EU27_2020,European Union,2003,8.2
BRD,Board members,EU27_2020,European Union,2004,8.8
BRD,Board members,EU27_2020,European Union,2005,9.6
BRD,Board members,EU27_2020,European Union,2006,9.6
BRD,Board members,EU27_2020,European Union,2007,10.3
BRD,Board members,EU27_2020,European Union,2008,10.6
BRD,Board members,EU27_2020,European Union,2009,10.9
BRD,Board members,EU27_2020,European Union,2010,11.8
BRD,Board members,EU27_2020,European Union,2011,13.4
BRD,Board members,EU27_2020,European Union,2012,15.4
BRD,Board members,EU27_2020,European Union,2013,17.5
BRD,Board members,EU27_2020,European Union,2014,19.8
BRD,Board members,EU27_2020,European Union,2015,22.2
BRD,Board members,EU27_2020,European Union,2016,23.6
BRD,Board members,EU27_2020,European Union,2017,25.1
BRD,Board members,EU27_2020,European Union,2018,26.4
BRD,Board members,EU27_2020,European Union,2019,28.4
BRD,Board members,EU27_2020,European Union,2020,29.5
BRD,Board members,EU27_2020,European Union,2021,30.6
BRD,Board members,EU27_2020,European Union,2022,32.3
BRD,Board members,EU27_2020,European Union,2023,33.8
BRD,Board members,FI,Finland,2003,11.7
BRD,Board members,FI,Finland,2004,16.3
BRD,Board members,FI,Finland,2005,19.9
BRD,Board members,FI,Finland,2006,20.4
BRD,Board members,FI,Finland,2007,18.5
BRD,Board members,FI,Finland,2008,20.4
BRD,Board members,FI,Finland,2009,23.6
BRD,Board members,FI,Finland,2010,25.9
BRD,Board members,FI,Finland,2011,26.5
BRD,Board members,FI,Finland,2012,28.6
BRD,Board members,FI,Finland,2013,29.8
BRD,Board members,FI,Finland,2014,29.2
BRD,Board members,FI,Finland,2015,29.2
BRD,Board members,FI,Finland,2016,30.1
BRD,Board members,FI,Finland,2017,32.8
BRD,Board members,FI,Finland,2018,34.5
BRD,Board members,FI,Finland,2019,34.2
BRD,Board members,FI,Finland,2020,35.1
BRD,Board members,FI,Finland,2021,35.2
BRD,Board members,FI,Finland,2022,36.1
BRD,Board members,FI,Finland,2023,38.3
BRD,Board members,FR,France,2003,5.3
BRD,Board members,FR,France,2004,5.9
BRD,Board members,FR,France,2005,7.3
BRD,Board members,FR,France,2006,7.6
BRD,Board members,FR,France,2007,8.8
BRD,Board members,FR,France,2008,9.3
BRD,Board members,FR,France,2009,10.2
BRD,Board members,FR,France,2010,12.3
BRD,Board members,FR,France,2011,21.6
BRD,Board members,FR,France,2012,25.1
BRD,Board members,FR,France,2013,29.7
BRD,Board members,FR,France,2014,32.4
BRD,Board members,FR,France,2015,35.6
BRD,Board members,FR,France,2016,41.2
BRD,Board members,FR,France,2017,43.4
BRD,Board members,FR,France,2018,44.0
BRD,Board members,FR,France,2019,45.2
BRD,Board members,FR,France,2020,45.1
BRD,Board members,FR,France,2021,45.3
BRD,Board members,FR,France,2022,45.2
BRD,Board members,FR,France,2023,46.1
BRD,Board members,HR,Croatia,2007,13.7
BRD,Board members,HR,Croatia,2008,11.5
BRD,Board members,HR,Croatia,2009,15.0
BRD,Board members,HR,Croatia,2010,15.6
BRD,Board members,HR,Croatia,2011,19.0
BRD,Board members,HR,Croatia,2012,15.1
BRD,Board members,HR,Croatia,2013,15.1
BRD,Board members,HR,Croatia,2014,19.0
BRD,Board members,HR,Croatia,2015,22.2
BRD,Board members,HR,Croatia,2016,19.9
BRD,Board members,HR,Croatia,2017,21.6
BRD,Board members,HR,Croatia,2018,17.2
BRD,Board members,HR,Croatia,2019,27.0
BRD,Board members,HR,Croatia,2020,26.2
BRD,Board members,HR,Croatia,2021,23.4
BRD,Board members,HR,Croatia,2022,29.3
BRD,Board members,HR,Croatia,2023,31.8
BRD,Board members,HU,Hungary,2003,11.1
BRD,Board members,HU,Hungary,2004,8.9
BRD,Board members,HU,Hungary,2005,9.6
BRD,Board members,HU,Hungary,2006,11.5
BRD,Board members,HU,Hungary,2007,10.8
BRD,Board members,HU,Hungary,2008,16.3
BRD,Board members,HU,Hungary,2009,13.3
BRD,Board members,HU,Hungary,2010,13.6
BRD,Board members,HU,Hungary,2011,5.3
BRD,Board members,HU,Hungary,2012,7.4
BRD,Board members,HU,Hungary,2013,11.3
BRD,Board members,HU,Hungary,2014,11.8
BRD,Board members,HU,Hungary,2015,17.8
BRD,Board members,HU,Hungary,2016,12.3
BRD,Board members,HU,Hungary,2017,14.5
BRD,Board members,HU,Hungary,2018,14.9
BRD,Board members,HU,Hungary,2019,12.9
BRD,Board members,HU,Hungary,2020,9.9
BRD,Board members,HU,Hungary,2021,9.4
BRD,Board members,HU,Hungary,2022,10.4
BRD,Board members,HU,Hungary,2023,10.5
BRD,Board members,IE,Ireland,2003,6.8
BRD,Board members,IE,Ireland,2004,5.6
BRD,Board members,IE,Ireland,2005,6.0
BRD,Board members,IE,Ireland,2006,5.1
BRD,Board members,IE,Ireland,2007,6.7
BRD,Board members,IE,Ireland,2008,7.1
BRD,Board members,IE,Ireland,2009,8.3
BRD,Board members,IE,Ireland,2010,8.4
BRD,Board members,IE,Ireland,2011,8.8
BRD,Board members,IE,Ireland,2012,8.7
BRD,Board members,IE,Ireland,2013,11.1
BRD,Board members,IE,Ireland,2014,10.9
BRD,Board members,IE,Ireland,2015,15.3
BRD,Board members,IE,Ireland,2016,16.5
BRD,Board members,IE,Ireland,2017,17.6
BRD,Board members,IE,Ireland,2018,18.7
BRD,Board members,IE,Ireland,2019,26.0
BRD,Board members,IE,Ireland,2020,28.8
BRD,Board members,IE,Ireland,2021,30.2
BRD,Board members,IE,Ireland,2022,33.7
BRD,Board members,IE,Ireland,2023,37.4
BRD,Board members,IS,Iceland,2003,4.0
BRD,Board members,IS,Iceland,2004,4.9
BRD,Board members,IS,Iceland,2005,7.5
BRD,Board members,IS,Iceland,2006,5.6
BRD,Board members,IS,Iceland,2007,9.7
BRD,Board members,IS,Iceland,2008,10.3
BRD,Board members,IS,Iceland,2009,15.6
BRD,Board members,IS,Iceland,2010,15.8
BRD,Board members,IS,Iceland,2011,20.5
BRD,Board members,IS,Iceland,2012,36.2
BRD,Board members,IS,Iceland,2013,48.1
BRD,Board members,IS,Iceland,2014,44.8
BRD,Board members,IS,Iceland,2015,44.2
BRD,Board members,IS,Iceland,2016,44.6
BRD,Board members,IS,Iceland,2017,43.0
BRD,Board members,IS,Iceland,2018,45.7
BRD,Board members,IS,Iceland,2019,45.9
BRD,Board members,IS,Iceland,2020,44.4
BRD,Board members,IS,Iceland,2021,47.1
BRD,Board members,IS,Iceland,2022,44.8
BRD,Board members,IS,Iceland,2023,42.4
BRD,Board members,IT,Italy,2003,1.9
BRD,Board members,IT,Italy,2004,2.5
BRD,Board members,IT,Italy,2005,2.7
BRD,Board members,IT,Italy,2006,3.6
BRD,Board members,IT,Italy,2007,3.2
BRD,Board members,IT,Italy,2008,3.9
BRD,Board members,IT,Italy,2009,4.0
BRD,Board members,IT,Italy,2010,4.5
BRD,Board members,IT,Italy,2011,5.9
BRD,Board members,IT,Italy,2012,10.8
BRD,Board members,IT,Italy,2013,15.0
BRD,Board members,IT,Italy,2014,24.1
BRD,Board members,IT,Italy,2015,28.6
BRD,Board members,IT,Italy,2016,32.3
BRD,Board members,IT,Italy,2017,34.0
BRD,Board members,IT,Italy,2018,36.4
BRD,Board members,IT,Italy,2019,36.1
BRD,Board members,IT,Italy,2020,38.4
BRD,Board members,IT,Italy,2021,38.8
BRD,Board members,IT,Italy,2022,42.6
BRD,Board members,IT,Italy,2023,43.0
BRD,Board members,LT,Lithuania,2004,11.3
BRD,Board members,LT,Lithuania,2005,10.7
BRD,Board members,LT,Lithuania,2006,15.6
BRD,Board members,LT,Lithuania,2007,17.5
BRD,Board members,LT,Lithuania,2008,16.2
BRD,Board members,LT,Lithuania,2009,15.0
BRD,Board members,LT,Lithuania,2010,13.1
BRD,Board members,LT,Lithuania,2011,14.0
BRD,Board members,LT,Lithuania,2012,17.8
BRD,Board members,LT,Lithuania,2013,16.1
BRD,Board members,LT,Lithuania,2014,16.5
BRD,Board members,LT,Lithuania,2015,14.3
BRD,Board members,LT,Lithuania,2016,14.3
BRD,Board members,LT,Lithuania,2017,14.3
BRD,Board members,LT,Lithuania,2018,10.8
BRD,Board members,LT,Lithuania,2019,12.0
BRD,Board members,LT,Lithuania,2020,14.3
BRD,Board members,LT,Lithuania,2021,22.3
BRD,Board members,LT,Lithuania,2022,24.5
BRD,Board members,LT,Lithuania,2023,25.3
BRD,Board members,LU,Luxembourg,2003,3.8
BRD,Board members,LU,Luxembourg,2004,4.3
BRD,Board members,LU,Luxembourg,2005,3.2
BRD,Board members,LU,Luxembourg,2006,1.0
BRD,Board members,LU,Luxembourg,2007,2.6
BRD,Board members,LU,Luxembourg,2008,2.6
BRD,Board members,LU,Luxembourg,2009,2.7
BRD,Board members,LU,Luxembourg,2010,3.5
BRD,Board members,LU,Luxembourg,2011,5.6
BRD,Board members,LU,Luxembourg,2012,9.7
BRD,Board members,LU,Luxembourg,2013,11.3
BRD,Board members,LU,Luxembourg,2014,11.7
BRD,Board members,LU,Luxembourg,2015,12.1
BRD,Board members,LU,Luxembourg,2016,12.9
BRD,Board members,LU,Luxembourg,2017,12.0
BRD,Board members,LU,Luxembourg,2018,13.3
BRD,Board members,LU,Luxembourg,2019,13.1
BRD,Board members,LU,Luxembourg,2020,18.2
BRD,Board members,LU,Luxembourg,2021,22.4
BRD,Board members,LU,Luxembourg,2022,23.4
BRD,Board members,LU,Luxembourg,2023,23.5
BRD,Board members,LV,Latvia,2003,16.8
BRD,Board members,LV,Latvia,2004,9.9
BRD,Board members,LV,Latvia,2005,19.3
BRD,Board members,LV,Latvia,2006,20.9
BRD,Board members,LV,Latvia,2007,17.4
BRD,Board members,LV,Latvia,2008,15.8
BRD,Board members,LV,Latvia,2009,17.1
BRD,Board members,LV,Latvia,2010,23.5
BRD,Board members,LV,Latvia,2011,26.6
BRD,Board members,LV,Latvia,2012,28.2
BRD,Board members,LV,Latvia,2013,28.6
BRD,Board members,LV,Latvia,2014,31.7
BRD,Board members,LV,Latvia,2015,30.4
BRD,Board members,LV,Latvia,2016,28.5
BRD,Board members,LV,Latvia,2017,28.8
BRD,Board members,LV,Latvia,2018,29.0
BRD,Board members,LV,Latvia,2019,31.7
BRD,Board members,LV,Latvia,2020,25.6
BRD,Board members,LV,Latvia,2021,22.2
BRD,Board members,LV,Latvia,2022,19.0
BRD,Board members,LV,Latvia,2023,23.9
BRD,Board members,ME,Montenegro,2015,18.3
BRD,Board members,ME,Montenegro,2016,23.3
BRD,Board members,ME,Montenegro,2017,25.0
BRD,Board members,ME,Montenegro,2018,22.4
BRD,Board members,ME,Montenegro,2019,21.1
BRD,Board members,ME,Montenegro,2020,15.3
BRD,Board members,ME,Montenegro,2021,20.3
BRD,Board members,ME,Montenegro,2022,22.4
BRD,Board members,ME,Montenegro,2023,19.0
BRD,Board members,MK,North Macedonia,2008,10.3
BRD,Board members,MK,North Macedonia,2009,16.4
BRD,Board members,MK,North Macedonia,2010,20.3
BRD,Board members,MK,North Macedonia,2011,19.2
BRD,Board members,MK,North Macedonia,2012,15.8
BRD,Board members,MK,North Macedonia,2013,16.9
BRD,Board members,MK,North Macedonia,2014,23.6
BRD,Board members,MK,North Macedonia,2015,21.1
BRD,Board members,MK,North Macedonia,2016,21.7
BRD,Board members,MK,North Macedonia,2017,23.0
BRD,Board members,MK,North Macedonia,2018,19.7
BRD,Board members,MK,North Macedonia,2019,16.7
BRD,Board members,MK,North Macedonia,2020,21.3
BRD,Board members,MK,North Macedonia,2021,21.0
BRD,Board members,MK,North Macedonia,2022,23.7
BRD,Board members,MK,North Macedonia,2023,29.5
BRD,Board members,MT,Malta,2004,2.3
BRD,Board members,MT,Malta,2005,3.3
BRD,Board members,MT,Malta,2006,4.1
BRD,Board members,MT,Malta,2007,4.1
BRD,Board members,MT,Malta,2008,4.3
BRD,Board members,MT,Malta,2009,4.1
BRD,Board members,MT,Malta,2010,2.4
BRD,Board members,MT,Malta,2011,2.3
BRD,Board members,MT,Malta,2012,3.5
BRD,Board members,MT,Malta,2013,2.1
BRD,Board members,MT,Malta,2014,2.7
BRD,Board members,MT,Malta,2015,4.5
BRD,Board members,MT,Malta,2016,4.5
BRD,Board members,MT,Malta,2017,8.4
BRD,Board members,MT,Malta,2018,9.6
BRD,Board members,MT,Malta,2019,10.0
BRD,Board members,MT,Malta,2020,9.9
BRD,Board members,MT,Malta,2021,10.8
BRD,Board members,MT,Malta,2022,15.5
BRD,Board members,MT,Malta,2023,17.5
BRD,Board members,NL,Netherlands,2003,7.6
BRD,Board members,NL,Netherlands,2004,4.9
BRD,Board members,NL,Netherlands,2005,6.9
BRD,Board members,NL,Netherlands,2006,8.4
BRD,Board members,NL,Netherlands,2007,13.9
BRD,Board members,NL,Netherlands,2008,14.5
BRD,Board members,NL,Netherlands,2009,15.0
BRD,Board members,NL,Netherlands,2010,14.9
BRD,Board members,NL,Netherlands,2011,17.8
BRD,Board members,NL,Netherlands,2012,21.5
BRD,Board members,NL,Netherlands,2013,25.1
BRD,Board members,NL,Netherlands,2014,24.9
BRD,Board members,NL,Netherlands,2015,25.5
BRD,Board members,NL,Netherlands,2016,27.5
BRD,Board members,NL,Netherlands,2017,29.5
BRD,Board members,NL,Netherlands,2018,30.7
BRD,Board members,NL,Netherlands,2019,34.2
BRD,Board members,NL,Netherlands,2020,36.6
BRD,Board members,NL,Netherlands,2021,38.1
BRD,Board members,NL,Netherlands,2022,41.6
BRD,Board members,NL,Netherlands,2023,41.0
BRD,Board members,NO,Norway,2003,20.9
BRD,Board members,NO,Norway,2004,22.4
BRD,Board members,NO,Norway,2005,28.8
BRD,Board members,NO,Norway,2006,34.5
BRD,Board members,NO,Norway,2007,34.2
BRD,Board members,NO,Norway,2008,42.9
BRD,Board members,NO,Norway,2009,41.6
BRD,Board members,NO,Norway,2010,38.9
BRD,Board members,NO,Norway,2011,41.3
BRD,Board members,NO,Norway,2012,43.7
BRD,Board members,NO,Norway,2013,42.0
BRD,Board members,NO,Norway,2014,37.6
BRD,Board members,NO,Norway,2015,38.8
BRD,Board members,NO,Norway,2016,42.6
BRD,Board members,NO,Norway,2017,42.1
BRD,Board members,NO,Norway,2018,40.2
BRD,Board members,NO,Norway,2019,40.2
BRD,Board members,NO,Norway,2020,40.4
BRD,Board members,NO,Norway,2021,41.5
BRD,Board members,NO,Norway,2022,43.2
BRD,Board members,NO,Norway,2023,43.1
BRD,Board members,PL,Poland,2004,9.1
BRD,Board members,PL,Poland,2005,10.7
BRD,Board members,PL,Poland,2006,9.4
BRD,Board members,PL,Poland,2007,11.9
BRD,Board members,PL,Poland,2008,10.4
BRD,Board members,PL,Poland,2009,9.5
BRD,Board members,PL,Poland,2010,11.6
BRD,Board members,PL,Poland,2011,11.8
BRD,Board members,PL,Poland,2012,11.8
BRD,Board members,PL,Poland,2013,12.3
BRD,Board members,PL,Poland,2014,14.6
BRD,Board members,PL,Poland,2015,19.4
BRD,Board members,PL,Poland,2016,18.8
BRD,Board members,PL,Poland,2017,20.1
BRD,Board members,PL,Poland,2018,21.0
BRD,Board members,PL,Poland,2019,23.5
BRD,Board members,PL,Poland,2020,22.8
BRD,Board members,PL,Poland,2021,24.7
BRD,Board members,PL,Poland,2022,24.2
BRD,Board members,PL,Poland,2023,27.2
BRD,Board members,PT,Portugal,2003,3.5
BRD,Board members,PT,Portugal,2004,4.1
BRD,Board members,PT,Portugal,2005,6.1
BRD,Board members,PT,Portugal,2006,6.8
BRD,Board members,PT,Portugal,2007,3.2
BRD,Board members,PT,Portugal,2008,2.6
BRD,Board members,PT,Portugal,2009,3.7
BRD,Board members,PT,Portugal,2010,5.4
BRD,Board members,PT,Portugal,2011,5.9
BRD,Board members,PT,Portugal,2012,7.4
BRD,Board members,PT,Portugal,2013,8.8
BRD,Board members,PT,Portugal,2014,9.5
BRD,Board members,PT,Portugal,2015,13.5
BRD,Board members,PT,Portugal,2016,14.3
BRD,Board members,PT,Portugal,2017,16.2
BRD,Board members,PT,Portugal,2018,21.6
BRD,Board members,PT,Portugal,2019,24.6
BRD,Board members,PT,Portugal,2020,26.6
BRD,Board members,PT,Portugal,2021,31.0
BRD,Board members,PT,Portugal,2022,33.3
BRD,Board members,PT,Portugal,2023,34.9
BRD,Board members,RO,Romania,2003,21.4
BRD,Board members,RO,Romania,2004,17.2
BRD,Board members,RO,Romania,2005,12.8
BRD,Board members,RO,Romania,2006,13.0
BRD,Board members,RO,Romania,2007,17.6
BRD,Board members,RO,Romania,2008,12.0
BRD,Board members,RO,Romania,2009,11.7
BRD,Board members,RO,Romania,2010,21.3
BRD,Board members,RO,Romania,2011,10.4
BRD,Board members,RO,Romania,2012,11.9
BRD,Board members,RO,Romania,2013,7.8
BRD,Board members,RO,Romania,2014,11.0
BRD,Board members,RO,Romania,2015,11.8
BRD,Board members,RO,Romania,2016,10.1
BRD,Board members,RO,Romania,2017,11.0
BRD,Board members,RO,Romania,2018,11.0
BRD,Board members,RO,Romania,2019,12.6
BRD,Board members,RO,Romania,2020,12.8
BRD,Board members,RO,Romania,2021,17.5
BRD,Board members,RO,Romania,2022,17.7
BRD,Board members,RO,Romania,2023,21.8
BRD,Board members,RS,Serbia,2008,13.5
BRD,Board members,RS,Serbia,2009,14.3
BRD,Board members,RS,Serbia,2010,12.4
BRD,Board members,RS,Serbia,2011,17.3
BRD,Board members,RS,Serbia,2012,17.6
BRD,Board members,RS,Serbia,2013,17.0
BRD,Board members,RS,Serbia,2014,15.3
BRD,Board members,RS,Serbia,2015,21.4
BRD,Board members,RS,Serbia,2016,20.0
BRD,Board members,RS,Serbia,2017,19.1
BRD,Board members,RS,Serbia,2018,21.2
BRD,Board members,RS,Serbia,2019,15.6
BRD,Board members,RS,Serbia,2020,21.7
