sex,name,TIME_PERIOD,OBS_VALUE
F,Spain,2013,22.1
F,Spain,2014,20.9
F,Spain,2015,19.7
F,Spain,2016,18.7
F,Spain,2017,17.1
F,Spain,2018,16.0
F,Spain,2019,15.4
F,Spain,2020,17.3
F,Spain,2021,13.8
F,Spain,2022,13.3
F,Spain,2023,12.2
F,EU27_2020,2009,16.7
F,EU27_2020,2010,17.2
F,EU27_2020,2011,17.2
F,EU27_2020,2012,17.6
F,EU27_2020,2013,17.9
F,EU27_2020,2014,17.6
F,EU27_2020,2015,17.1
F,EU27_2020,2016,16.7
F,EU27_2020,2017,16.0
F,EU27_2020,2018,15.3
F,EU27_2020,2019,14.7
F,EU27_2020,2020,15.5
F,EU27_2020,2021,14.5
F,EU27_2020,2022,13.0
F,EU27_2020,2023,12.4
F,Finland,2009,11.6
F,Finland,2010,10.9
F,Finland,2011,10.4
F,Finland,2012,10.7
F,Finland,2013,10.8
F,Finland,2014,11.1
F,Finland,2015,12.4
F,Finland,2016,11.6
F,Finland,2017,11.0
F,Finland,2018,10.6
F,Finland,2019,9.9
F,Finland,2020,9.9
F,Finland,2021,8.7
F,Finland,2022,8.6
F,Finland,2023,9.1
F,France,2003,12.2
F,France,2004,12.5
F,France,2005,12.4
F,France,2006,12.5
F,France,2007,12.1
F,France,2008,11.8
F,France,2009,12.7
F,France,2010,13.0
F,France,2011,13.2
F,France,2012,13.2
F,France,2013,13.8
F,France,2014,13.9
F,France,2015,14.5
F,France,2016,14.3
F,France,2017,13.6
F,France,2018,13.2
F,France,2019,12.6
F,France,2020,13.7
F,France,2021,13.0
F,France,2022,12.1
F,France,2023,12.5
F,Croatia,2009,17.3
F,Croatia,2010,17.3
F,Croatia,2011,18.9
F,Croatia,2012,19.3
F,Croatia,2013,22.1
F,Croatia,2014,21.2
F,Croatia,2015,19.3
F,Croatia,2016,19.4
F,Croatia,2017,19.1
F,Croatia,2018,17.7
F,Croatia,2019,16.3
F,Croatia,2020,16.0
F,Croatia,2021,16.2
F,Croatia,2022,15.1
F,Croatia,2023,12.7
F,Hungary,2009,16.9
F,Hungary,2010,16.8
F,Hungary,2011,17.4
F,Hungary,2012,18.5
F,Hungary,2013,19.0
F,Hungary,2014,17.2
F,Hungary,2015,15.3
F,Hungary,2016,14.5
F,Hungary,2017,14.7
F,Hungary,2018,13.9
F,Hungary,2019,13.4
F,Hungary,2020,14.8
F,Hungary,2021,14.8
F,Hungary,2022,13.3
F,Hungary,2023,13.3
F,Ireland,2009,18.4
F,Ireland,2010,20.3
F,Ireland,2011,20.9
F,Ireland,2012,20.3
F,Ireland,2013,18.5
F,Ireland,2014,18.2
F,Ireland,2015,16.6
F,Ireland,2016,14.6
F,Ireland,2017,13.8
F,Ireland,2018,12.5
F,Ireland,2019,12.4
F,Ireland,2020,14.5
F,Ireland,2021,9.6
F,Ireland,2022,9.7
F,Ireland,2023,8.8
F,Iceland,2009,8.5
F,Iceland,2010,11.0
F,Iceland,2011,7.7
F,Iceland,2012,6.4
F,Iceland,2013,5.9
F,Iceland,2014,6.5
F,Iceland,2015,4.9
F,Iceland,2016,5.0
F,Iceland,2017,4.8
F,Iceland,2018,5.9
F,Iceland,2019,4.8
F,Iceland,2020,7.4
F,Iceland,2021,7.6
F,Iceland,2022,5.2
F,Iceland,2023,6.3
F,Italy,2009,24.1
F,Italy,2010,25.4
F,Italy,2011,25.8
F,Italy,2012,26.6
F,Italy,2013,28.3
F,Italy,2014,28.4
F,Italy,2015,27.9
F,Italy,2016,27.0
F,Italy,2017,26.6
F,Italy,2018,26.1
F,Italy,2019,24.9
F,Italy,2020,26.1
F,Italy,2021,25.0
F,Italy,2022,20.5
F,Italy,2023,17.8
F,Lithuania,2009,13.6
F,Lithuania,2010,14.5
F,Lithuania,2011,13.3
F,Lithuania,2012,13.0
F,Lithuania,2013,14.3
F,Lithuania,2014,14.3
F,Lithuania,2015,13.0
F,Lithuania,2016,10.7
F,Lithuania,2017,10.8
F,Lithuania,2018,9.9
F,Lithuania,2019,11.0
F,Lithuania,2020,12.4
F,Lithuania,2021,13.5
F,Lithuania,2022,11.8
F,Lithuania,2023,14.1
F,Luxembourg,2009,8.8
F,Luxembourg,2010,7.0
F,Luxembourg,2011,8.2
F,Luxembourg,2012,9.0
F,Luxembourg,2013,7.7
F,Luxembourg,2014,5.6
F,Luxembourg,2015,8.6
F,Luxembourg,2016,8.3
F,Luxembourg,2017,6.9
F,Luxembourg,2018,9.6
F,Luxembourg,2019,5.9
F,Luxembourg,2020,6.6
F,Luxembourg,2021,8.5
F,Luxembourg,2022,6.4
F,Luxembourg,2023,10.0
F,Latvia,2009,20.7
F,Latvia,2010,21.0
F,Latvia,2011,20.3
F,Latvia,2012,18.4
F,Latvia,2013,17.3
F,Latvia,2014,17.9
F,Latvia,2015,15.4
F,Latvia,2016,13.6
F,Latvia,2017,13.5
F,Latvia,2018,12.4
F,Latvia,2019,10.6
F,Latvia,2020,12.6
F,Latvia,2021,12.6
F,Latvia,2022,11.6
F,Latvia,2023,10.4
F,Montenegro,2011,25.6
F,Montenegro,2012,25.7
F,Montenegro,2013,23.3
F,Montenegro,2014,22.5
F,Montenegro,2015,24.1
F,Montenegro,2016,23.1
F,Montenegro,2017,22.6
F,Montenegro,2018,20.8
F,Montenegro,2019,21.5
F,Montenegro,2020,26.9
F,The former Yugoslav Republic of Macedonia,2009,37.2
F,The former Yugoslav Republic of Macedonia,2010,35.1
F,The former Yugoslav Republic of Macedonia,2011,34.8
F,The former Yugoslav Republic of Macedonia,2012,34.1
F,The former Yugoslav Republic of Macedonia,2013,34.6
F,The former Yugoslav Republic of Macedonia,2014,36.2
F,The former Yugoslav Republic of Macedonia,2015,35.3
F,The former Yugoslav Republic of Macedonia,2016,34.0
F,The former Yugoslav Republic of Macedonia,2017,35.7
F,The former Yugoslav Republic of Macedonia,2018,33.9
F,The former Yugoslav Republic of Macedonia,2019,28.3
F,The former Yugoslav Republic of Macedonia,2020,29.0
F,Malta,2009,16.4
F,Malta,2010,16.1
F,Malta,2011,14.9
F,Malta,2012,14.7
F,Malta,2013,12.7
F,Malta,2014,14.5
F,Malta,2015,15.0
F,Malta,2016,12.1
F,Malta,2017,9.8
F,Malta,2018,9.0
F,Malta,2019,10.6
F,Malta,2020,10.9
F,Malta,2021,12.0
F,Malta,2022,7.9
F,Malta,2023,8.4
F,Netherlands,2009,8.2
F,Netherlands,2010,8.2
F,Netherlands,2011,8.0
F,Netherlands,2012,8.9
F,Netherlands,2013,9.4
F,Netherlands,2014,9.9
F,Netherlands,2015,8.8
F,Netherlands,2016,8.2
F,Netherlands,2017,7.9
F,Netherlands,2018,7.4
F,Netherlands,2019,6.9
F,Netherlands,2020,7.2
F,Netherlands,2021,4.2
F,Netherlands,2022,4.6
F,Netherlands,2023,5.6
F,Norway,2009,8.5
F,Norway,2010,8.5
F,Norway,2011,9.2
F,Norway,2012,8.9
F,Norway,2013,9.5
F,Norway,2014,9.8
F,Norway,2015,9.4
F,Norway,2016,9.0
F,Norway,2017,9.1
F,Norway,2018,8.7
F,Norway,2019,8.8
F,Norway,2020,8.5
F,Norway,2021,7.3
F,Norway,2022,6.8
F,Norway,2023,6.2
F,Poland,2009,17.0
F,Poland,2010,16.7
F,Poland,2011,17.7
F,Poland,2012,18.2
F,Poland,2013,18.8
F,Poland,2014,17.9
F,Poland,2015,16.5
F,Poland,2016,16.8
F,Poland,2017,16.7
F,Poland,2018,16.2
F,Poland,2019,16.2
F,Poland,2020,17.1
F,Poland,2021,16.9
F,Poland,2022,13.6
F,Poland,2023,11.9
F,Portugal,2009,13.6
F,Portugal,2010,14.4
F,Portugal,2011,14.8
F,Portugal,2012,15.7
F,Portugal,2013,16.9
F,Portugal,2014,15.3
F,Portugal,2015,14.4
F,Portugal,2016,13.2
F,Portugal,2017,10.7
F,Portugal,2018,10.0
F,Portugal,2019,10.1
F,Portugal,2020,11.1
F,Portugal,2021,10.0
F,Portugal,2022,8.8
F,Portugal,2023,8.9
F,Romania,2009,21.4
F,Romania,2010,28.4
F,Romania,2011,27.3
F,Romania,2012,27.4
F,Romania,2013,27.9
F,Romania,2014,28.1
F,Romania,2015,30.6
F,Romania,2016,29.1
F,Romania,2017,26.5
F,Romania,2018,26.3
F,Romania,2019,25.8
F,Romania,2020,25.9
F,Romania,2021,26.3
F,Romania,2022,25.4
F,Romania,2023,24.8
F,Serbia,2010,30.9
F,Serbia,2011,32.3
F,Serbia,2012,33.1
F,Serbia,2013,33.2
F,Serbia,2014,27.6
F,Serbia,2015,26.6
F,Serbia,2016,24.8
F,Serbia,2017,23.9
F,Serbia,2018,22.7
F,Serbia,2019,21.2
F,Serbia,2020,21.9
F,Serbia,2021,20.4
F,Serbia,2022,16.8
F,Serbia,2023,16.6
F,Sweden,2009,9.1
F,Sweden,2010,7.9
F,Sweden,2011,7.6
F,Sweden,2012,8.0
F,Sweden,2013,7.4
F,Sweden,2014,7.3
F,Sweden,2015,6.8
F,Sweden,2016,6.6
F,Sweden,2017,6.6
F,Sweden,2018,6.6
F,Sweden,2019,5.9
F,Sweden,2020,6.8
F,Sweden,2021,6.3
F,Sweden,2022,5.9
F,Sweden,2023,5.7
F,Slovenia,2009,8.2
F,Slovenia,2010,8.1
F,Slovenia,2011,7.7
F,Slovenia,2012,10.5
F,Slovenia,2013,11.5
F,Slovenia,2014,12.1
F,Slovenia,2015,10.6
F,Slovenia,2016,9.3
F,Slovenia,2017,8.7
F,Slovenia,2018,8.4
F,Slovenia,2019,9.2
F,Slovenia,2020,8.9
F,Slovenia,2021,8.2
F,Slovenia,2022,9.8
F,Slovenia,2023,9.0
F,Slovakia,2009,19.1
F,Slovakia,2010,19.4
F,Slovakia,2011,19.0
F,Slovakia,2012,19.6
F,Slovakia,2013,19.4
F,Slovakia,2014,19.2
F,Slovakia,2015,18.9
F,Slovakia,2016,18.5
F,Slovakia,2017,19.1
F,Slovakia,2018,17.6
F,Slovakia,2019,17.2
F,Slovakia,2020,17.8
F,Slovakia,2021,17.5
F,Slovakia,2022,13.9
F,Slovakia,2023,12.4
F,Turkey,2009,54.3
F,Turkey,2010,51.3
F,Turkey,2011,48.7
F,Turkey,2012,46.7
F,Turkey,2013,43.8
F,Turkey,2014,42.3
F,Turkey,2015,41.6
F,Turkey,2016,40.9
F,Turkey,2017,40.7
F,Turkey,2018,40.2
F,Turkey,2019,40.8
F,Turkey,2020,42.8
M,Austria,2009,8.1
M,Austria,2010,7.8
M,Austria,2011,7.4
M,Austria,2012,7.1
M,Austria,2013,7.7
M,Austria,2014,8.6
M,Austria,2015,8.4
M,Austria,2016,8.6
M,Austria,2017,7.9
M,Austria,2018,7.2
M,Austria,2019,7.0
M,Austria,2020,9.6
M,Austria,2021,8.5
M,Austria,2022,8.5
M,Austria,2023,8.8
M,Bosnia and Herzegovina,2021,21.6
M,Bosnia and Herzegovina,2022,19.8
M,Belgium,2009,9.9
M,Belgium,2010,10.4
M,Belgium,2011,10.9
M,Belgium,2012,11.8
M,Belgium,2013,12.5
M,Belgium,2014,12.3
M,Belgium,2015,12.2
M,Belgium,2016,10.6
M,Belgium,2017,10.5
M,Belgium,2018,9.7
M,Belgium,2019,9.8
M,Belgium,2020,10.3
M,Belgium,2021,10.4
M,Belgium,2022,9.3
M,Belgium,2023,9.8
M,Bulgaria,2009,17.8
M,Bulgaria,2010,21.2
M,Bulgaria,2011,23.0
M,Bulgaria,2012,23.0
M,Bulgaria,2013,23.7
M,Bulgaria,2014,21.2
M,Bulgaria,2015,19.8
M,Bulgaria,2016,19.0
M,Bulgaria,2017,14.8
M,Bulgaria,2018,14.6
M,Bulgaria,2019,13.2
M,Bulgaria,2020,14.8
M,Bulgaria,2021,14.5
M,Bulgaria,2022,12.7
M,Bulgaria,2023,12.5
M,Switzerland,2010,6.7
M,Switzerland,2011,7.3
M,Switzerland,2012,6.8
M,Switzerland,2013,7.4
M,Switzerland,2014,7.4
M,Switzerland,2015,7.0
M,Switzerland,2016,7.3
M,Switzerland,2017,7.3
M,Switzerland,2018,6.6
M,Switzerland,2019,6.5
M,Switzerland,2020,6.6
M,Cyprus,2009,8.6
M,Cyprus,2010,10.8
M,Cyprus,2011,14.2
M,Cyprus,2012,17.2
M,Cyprus,2013,20.7
M,Cyprus,2014,20.5
M,Cyprus,2015,17.7
M,Cyprus,2016,16.4
M,Cyprus,2017,15.7
M,Cyprus,2018,14.2
M,Cyprus,2019,12.2
M,Cyprus,2020,14.2
M,Cyprus,2021,14.5
M,Cyprus,2022,12.3
M,Cyprus,2023,12.7
M,Czech Republic,2009,8.0
M,Czech Republic,2010,8.3
M,Czech Republic,2011,7.6
M,Czech Republic,2012,8.4
M,Czech Republic,2013,8.2
M,Czech Republic,2014,7.0
M,Czech Republic,2015,6.6
M,Czech Republic,2016,5.6
M,Czech Republic,2017,4.6
M,Czech Republic,2018,4.0
M,Czech Republic,2019,4.0
M,Czech Republic,2020,4.7
M,Czech Republic,2021,4.8
M,Czech Republic,2022,6.1
M,Czech Republic,2023,4.6
M,Germany,2009,10.5
M,Germany,2010,9.6
M,Germany,2011,8.5
M,Germany,2012,7.9
M,Germany,2013,7.5
M,Germany,2014,7.4
M,Germany,2015,7.3
M,Germany,2016,7.8
M,Germany,2017,7.4
M,Germany,2018,6.8
M,Germany,2019,6.5
M,Germany,2020,8.6
M,Germany,2021,8.1
M,Germany,2022,7.1
M,Germany,2023,7.2
M,Denmark,2009,7.5
M,Denmark,2010,8.6
M,Denmark,2011,7.9
M,Denmark,2012,8.9
M,Denmark,2013,7.8
M,Denmark,2014,7.4
M,Denmark,2015,8.2
M,Denmark,2016,8.2
M,Denmark,2017,9.1
M,Denmark,2018,9.5
M,Denmark,2019,9.5
M,Denmark,2020,9.9
M,Denmark,2021,8.0
M,Denmark,2022,7.6
M,Denmark,2023,8.3
M,EA20,2009,13.2
M,EA20,2010,13.6
M,EA20,2011,13.6
M,EA20,2012,14.3
M,EA20,2013,14.9
M,EA20,2014,14.5
M,EA20,2015,14.0
M,EA20,2016,13.2
M,EA20,2017,12.6
M,EA20,2018,11.9
M,EA20,2019,11.5
M,EA20,2020,13.1
M,EA20,2021,12.3
M,EA20,2022,10.8
M,EA20,2023,10.4
M,Estonia,2009,16.5
M,Estonia,2010,16.3
M,Estonia,2011,12.8
M,Estonia,2012,11.6
M,Estonia,2013,11.1
M,Estonia,2014,11.2
M,Estonia,2015,8.7
M,Estonia,2016,8.9
M,Estonia,2017,8.5
M,Estonia,2018,9.7
M,Estonia,2019,7.3
M,Estonia,2020,9.3
M,Estonia,2021,10.7
M,Estonia,2022,11.9
M,Estonia,2023,10.2
M,Greece,2009,11.2
M,Greece,2010,14.6
M,Greece,2011,20.3
M,Greece,2012,25.1
M,Greece,2013,27.7
M,Greece,2014,25.7
M,Greece,2015,23.0
M,Greece,2016,20.5
M,Greece,2017,18.8
M,Greece,2018,17.8
M,Greece,2019,16.9
M,Greece,2020,18.5
M,Greece,2021,16.5
M,Greece,2022,14.1
M,Greece,2023,14.6
M,Spain,2009,20.4
M,Spain,2010,20.3
M,Spain,2011,20.8
M,Spain,2012,22.8
M,Spain,2013,22.8
M,Spain,2014,20.5
M,Spain,2015,19.2
M,Spain,2016,17.4
M,Spain,2017,15.7
M,Spain,2018,14.7
M,Spain,2019,14.4
M,Spain,2020,17.3
M,Spain,2021,14.4
M,Spain,2022,12.1
M,Spain,2023,12.2
M,EU27_2020,2009,13.0
M,EU27_2020,2010,13.7
M,EU27_2020,2011,13.8
M,EU27_2020,2012,14.4
M,EU27_2020,2013,14.8
M,EU27_2020,2014,14.4
M,EU27_2020,2015,13.9
M,EU27_2020,2016,13.0
M,EU27_2020,2017,12.1
M,EU27_2020,2018,11.4
M,EU27_2020,2019,11.0
M,EU27_2020,2020,12.5
M,EU27_2020,2021,11.8
M,EU27_2020,2022,10.5
M,EU27_2020,2023,10.0
M,Finland,2009,10.0
M,Finland,2010,9.2
M,Finland,2011,8.8
M,Finland,2012,9.0
M,Finland,2013,10.0
M,Finland,2014,11.4
M,Finland,2015,11.2
M,Finland,2016,10.7
M,Finland,2017,9.9
M,Finland,2018,8.6
M,Finland,2019,8.3
M,Finland,2020,9.6
M,Finland,2021,9.7
M,Finland,2022,10.0
M,Finland,2023,9.2
M,France,2003,9.0
M,France,2004,9.1
M,France,2005,9.4
M,France,2006,9.4
M,France,2007,9.1
M,France,2008,9.1
M,France,2009,11.3
M,France,2010,11.3
M,France,2011,10.9
M,France,2012,11.7
M,France,2013,12.3
M,France,2014,12.9
M,France,2015,13.4
M,France,2016,12.9
M,France,2017,12.7
M,France,2018,12.6
M,France,2019,12.1
M,France,2020,13.1
M,France,2021,12.5
M,France,2022,11.9
M,France,2023,12.2
M,Croatia,2009,12.6
M,Croatia,2010,18.0
M,Croatia,2011,19.3
M,Croatia,2012,20.0
M,Croatia,2013,22.5
M,Croatia,2014,22.4
M,Croatia,2015,20.5
M,Croatia,2016,19.5
M,Croatia,2017,16.7
M,Croatia,2018,13.6
M,Croatia,2019,12.2
M,Croatia,2020,13.3
M,Croatia,2021,13.8
M,Croatia,2022,11.5
M,Croatia,2023,11.0
M,Hungary,2009,14.1
M,Hungary,2010,14.3
M,Hungary,2011,13.7
M,Hungary,2012,15.3
M,Hungary,2013,14.5
M,Hungary,2014,12.2
M,Hungary,2015,11.1
M,Hungary,2016,9.6
M,Hungary,2017,7.9
M,Hungary,2018,7.5
M,Hungary,2019,8.7
M,Hungary,2020,10.0
M,Hungary,2021,8.7
M,Hungary,2022,8.3
M,Hungary,2023,8.7
M,Ireland,2009,22.0
M,Ireland,2010,23.2
M,Ireland,2011,23.8
M,Ireland,2012,23.0
M,Ireland,2013,19.0
M,Ireland,2014,17.3
M,Ireland,2015,16.3
M,Ireland,2016,14.3
M,Ireland,2017,11.8
M,Ireland,2018,10.7
M,Ireland,2019,10.5
M,Ireland,2020,13.8
M,Ireland,2021,9.9
M,Ireland,2022,7.8
M,Ireland,2023,8.4
M,Iceland,2009,10.2
M,Iceland,2010,9.1
M,Iceland,2011,7.4
M,Iceland,2012,7.5
M,Iceland,2013,6.8
M,Iceland,2014,7.2
M,Iceland,2015,5.6
M,Iceland,2016,4.3
M,Iceland,2017,3.4
M,Iceland,2018,4.9
M,Iceland,2019,6.6
M,Iceland,2020,6.7
M,Iceland,2021,6.9
M,Iceland,2022,5.4
M,Iceland,2023,5.2
M,Italy,2009,17.3
M,Italy,2010,19.0
M,Italy,2011,19.7
M,Italy,2012,21.4
M,Italy,2013,24.1
M,Italy,2014,24.3
M,Italy,2015,23.8
M,Italy,2016,22.0
M,Italy,2017,22.0
M,Italy,2018,21.1
M,Italy,2019,19.9
M,Italy,2020,21.0
M,Italy,2021,21.2
M,Italy,2022,17.7
M,Italy,2023,14.4
M,Lithuania,2009,16.3
M,Lithuania,2010,19.3
M,Lithuania,2011,15.9
M,Lithuania,2012,14.8
M,Lithuania,2013,13.2
M,Lithuania,2014,11.5
M,Lithuania,2015,10.7
M,Lithuania,2016,10.8
M,Lithuania,2017,9.8
M,Lithuania,2018,8.8
M,Lithuania,2019,10.9
M,Lithuania,2020,13.6
M,Lithuania,2021,11.9
M,Lithuania,2022,9.6
M,Lithuania,2023,13.0
M,Luxembourg,2009,6.2
M,Luxembourg,2010,5.1
M,Luxembourg,2011,5.0
M,Luxembourg,2012,6.1
M,Luxembourg,2013,6.7
M,Luxembourg,2014,7.3
M,Luxembourg,2015,6.5
M,Luxembourg,2016,5.4
M,Luxembourg,2017,6.4
M,Luxembourg,2018,5.4
M,Luxembourg,2019,7.0
M,Luxembourg,2020,8.7
M,Luxembourg,2021,9.0
M,Luxembourg,2022,7.2
M,Luxembourg,2023,7.0
M,Latvia,2009,20.9
M,Latvia,2010,20.5
M,Latvia,2011,17.9
M,Latvia,2012,16.0
M,Latvia,2013,13.9
M,Latvia,2014,12.6
M,Latvia,2015,12.2
M,Latvia,2016,12.9
M,Latvia,2017,11.1
M,Latvia,2018,10.8
M,Latvia,2019,10.0
M,Latvia,2020,11.3
M,Latvia,2021,11.5
M,Latvia,2022,11.0
M,Latvia,2023,9.6
M,Montenegro,2011,23.7
M,Montenegro,2012,23.3
M,Montenegro,2013,23.9
M,Montenegro,2014,22.5
M,Montenegro,2015,22.8
M,Montenegro,2016,21.6
M,Montenegro,2017,20.3
M,Montenegro,2018,21.2
M,Montenegro,2019,21.0
M,Montenegro,2020,26.2
M,The former Yugoslav Republic of Macedonia,2009,28.6
M,The former Yugoslav Republic of Macedonia,2010,28.6
M,The former Yugoslav Republic of Macedonia,2011,28.6
M,The former Yugoslav Republic of Macedonia,2012,30.2
M,The former Yugoslav Republic of Macedonia,2013,28.1
M,The former Yugoslav Republic of Macedonia,2014,27.8
M,The former Yugoslav Republic of Macedonia,2015,29.9
M,The former Yugoslav Republic of Macedonia,2016,28.7
M,The former Yugoslav Republic of Macedonia,2017,26.7
M,The former Yugoslav Republic of Macedonia,2018,25.9
M,The former Yugoslav Republic of Macedonia,2019,20.9
M,The former Yugoslav Republic of Macedonia,2020,23.6
M,Malta,2009,8.9
M,Malta,2010,8.4
M,Malta,2011,9.4
M,Malta,2012,9.3
M,Malta,2013,9.1
M,Malta,2014,8.9
M,Malta,2015,8.8
M,Malta,2016,6.9
M,Malta,2017,7.8
M,Malta,2018,6.1
M,Malta,2019,6.7
M,Malta,2020,8.7
M,Malta,2021,9.2
M,Malta,2022,7.4
M,Malta,2023,6.7
M,Netherlands,2009,4.9
M,Netherlands,2010,5.4
M,Netherlands,2011,5.1
M,Netherlands,2012,5.6
M,Netherlands,2013,6.9
M,Netherlands,2014,6.6
M,Netherlands,2015,5.9
M,Netherlands,2016,5.8
M,Netherlands,2017,5.3
M,Netherlands,2018,5.2
M,Netherlands,2019,5.7
M,Netherlands,2020,5.5
M,Netherlands,2021,3.6
M,Netherlands,2022,3.8
M,Netherlands,2023,4.0
M,Norway,2009,6.2
M,Norway,2010,7.4
M,Norway,2011,6.5
M,Norway,2012,6.4
M,Norway,2013,7.1
M,Norway,2014,7.1
M,Norway,2015,7.3
M,Norway,2016,7.7
M,Norway,2017,6.3
M,Norway,2018,6.7
M,Norway,2019,6.3
M,Norway,2020,7.2
M,Norway,2021,7.5
M,Norway,2022,6.8
M,Norway,2023,6.6
M,Poland,2009,11.6
M,Poland,2010,13.1
M,Poland,2011,13.3
M,Poland,2012,13.6
M,Poland,2013,14.2
M,Poland,2014,13.7
M,Poland,2015,13.3
M,Poland,2016,11.3
M,Poland,2017,9.6
M,Poland,2018,8.4
M,Poland,2019,8.0
M,Poland,2020,9.3
M,Poland,2021,10.1
M,Poland,2022,8.2
M,Poland,2023,6.9
M,Portugal,2009,11.5
M,Portugal,2010,12.1
M,Portugal,2011,12.9
M,Portugal,2012,15.5
M,Portugal,2013,16.0
M,Portugal,2014,14.0
M,Portugal,2015,12.1
M,Portugal,2016,12.4
M,Portugal,2017,10.4
M,Portugal,2018,9.2
M,Portugal,2019,8.3
M,Portugal,2020,11.0
M,Portugal,2021,9.7
